                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2385,                 5.1669,                 4.0433,                  2e-05,                0.00556,                  1e-05,                      0,                 5.4213,                 5.2223,                 4.3016,             0.00065497,             0.00065497,             0.00065497
                      2,                 2.9017,                 2.9388,                 2.8617,                0.00018,                0.01667,                  9e-05,                  3e-05,                 4.1025,                 4.6185,                 3.5424,              0.0012955,              0.0012955,              0.0012955
                      3,                 2.3477,                  2.207,                 2.3817,                0.48334,                0.53222,                0.50173,                 0.2089,                 1.9695,                 1.8603,                 2.4314,              0.0019096,              0.0019096,              0.0019096
                      4,                 2.0192,                 1.7505,                  2.164,                0.72689,                0.67444,                0.72371,                0.33213,                 1.9199,                 2.2344,                 2.3256,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.8485,                 1.4473,                 1.9634,                 0.8453,                0.79531,                0.87359,                0.47076,                 1.5986,                 1.4361,                   1.97,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.6938,                 1.2455,                 1.7831,                0.88628,                0.80778,                0.91005,                0.52454,                 1.5016,                 1.2522,                 1.8036,               0.001802,               0.001802,               0.001802
                      7,                 1.6593,                 1.1605,                 1.7318,                0.91902,                0.87333,                0.94875,                0.54013,                 1.4515,                  1.015,                 1.7682,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.5409,                 1.0669,                  1.634,                0.92809,                0.84612,                0.94033,                0.54872,                 1.5136,                 0.9645,                 1.8628,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.5349,                 1.0919,                 1.6348,                0.95885,                0.88222,                0.95745,                0.57907,                 1.3641,                 0.8572,                 1.6398,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.4891,                0.94598,                 1.5328,                0.92647,                0.85556,                0.94581,                0.53111,                 1.4898,                0.88904,                 1.6966,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.4391,                0.91438,                 1.4947,                0.95621,                0.89779,                0.96556,                0.60777,                 1.3089,                0.79862,                 1.5516,               0.001604,               0.001604,               0.001604
                     12,                 1.4188,                 0.8892,                 1.4825,                0.95278,                0.91921,                0.97276,                0.63042,                 1.2228,                0.78132,                 1.4708,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.3734,                0.85615,                  1.438,                0.96214,                0.90667,                 0.9711,                0.63506,                 1.2473,                0.72478,                 1.4596,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.3384,                0.85246,                 1.4299,                0.92901,                0.87243,                 0.9528,                0.62434,                 1.2368,                0.80234,                 1.4512,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.3446,                0.83482,                 1.4036,                0.95878,                0.93038,                0.97782,                0.62397,                 1.2419,                 0.7355,                 1.4776,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.2935,                0.78552,                 1.3867,                0.95311,                0.90778,                0.97402,                0.66872,                  1.139,                0.81997,                 1.4139,               0.001406,               0.001406,               0.001406
                     17,                 1.3128,                0.80197,                 1.3936,                0.93203,                0.92941,                0.97726,                0.66618,                 1.1107,                 0.7124,                 1.3731,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.2426,                0.73774,                 1.3384,                 0.9668,                0.93833,                0.98505,                0.67206,                 1.1032,                0.65718,                 1.3528,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.2959,                0.75918,                 1.3709,                0.96998,                0.92222,                0.98358,                0.64046,                 1.1854,                0.71814,                 1.3929,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.2508,                0.72012,                 1.3435,                0.97013,                0.94889,                0.98832,                0.70184,                 1.0353,                0.58303,                 1.3078,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.2426,                0.72057,                 1.3257,                0.98333,                0.91755,                0.98612,                0.69445,                 1.0433,                 0.5994,                 1.3143,               0.001208,               0.001208,               0.001208
                     22,                  1.221,                0.71478,                 1.2979,                0.97192,                0.96146,                0.99093,                0.73164,                0.96913,                0.55798,                 1.2554,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.1748,                0.67038,                 1.2773,                0.95389,                0.95667,                0.99011,                0.71232,                 1.0278,                0.56294,                 1.2714,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.1952,                0.67157,                 1.2821,                0.97755,                0.91944,                0.98466,                0.68851,                 1.0097,                0.62793,                 1.2655,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.1827,                0.68069,                 1.2888,                 0.9571,                0.96674,                0.99086,                 0.7252,                 0.9606,                0.56841,                 1.2402,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.2154,                0.66972,                  1.287,                  0.963,                0.95421,                 0.9895,                0.67192,                 1.1179,                0.60149,                 1.3463,                0.00101,                0.00101,                0.00101
                     27,                 1.1903,                0.64651,                 1.2592,                0.95985,                0.96778,                0.99084,                0.71149,                0.99309,                0.53231,                 1.2395,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.1647,                0.64397,                 1.2629,                0.96862,                0.95556,                0.99112,                 0.7129,                 1.0339,                0.56127,                 1.2563,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.1415,                0.62422,                 1.2407,                0.95764,                0.95454,                0.99035,                0.72116,                 1.0176,                0.53158,                 1.2685,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.1165,                0.62599,                 1.2378,                 0.9794,                0.95097,                 0.9911,                0.67585,                 1.1052,                 0.5599,                 1.2944,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.1138,                0.60261,                 1.2225,                0.98126,                0.93087,                0.99042,                0.73522,                0.93297,                0.54121,                 1.2094,               0.000812,               0.000812,               0.000812
                     32,                 1.0878,                0.58675,                 1.2122,                0.96643,                0.95959,                0.99175,                0.74523,                0.91292,                0.47887,                 1.1895,              0.0007724,              0.0007724,              0.0007724
                     33,                  1.084,                0.57721,                 1.2085,                0.97192,                   0.96,                0.99187,                0.74927,                0.91021,                0.50065,                 1.1852,              0.0007328,              0.0007328,              0.0007328
                     34,                  1.057,                0.56922,                  1.192,                0.97546,                0.97179,                0.99256,                0.75212,                0.90859,                0.48065,                 1.1719,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.1102,                0.59646,                  1.214,                0.98511,                0.94667,                0.99241,                0.74665,                 0.9046,                0.49011,                 1.1824,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0761,                0.56637,                  1.195,                0.97763,                0.97121,                0.99286,                0.73879,                 0.9472,                0.48533,                 1.2114,               0.000614,               0.000614,               0.000614
                     37,                 1.0645,                0.55837,                  1.197,                0.98525,                 0.9649,                0.99249,                0.75822,                 0.8897,                0.46849,                 1.1687,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.0473,                0.55682,                 1.1814,                0.98348,                0.97333,                0.99392,                0.75749,                0.88619,                0.46545,                 1.1651,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.0612,                0.54733,                 1.1764,                0.98631,                0.96889,                0.99345,                0.74032,                0.95938,                0.46702,                  1.184,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.0391,                0.54189,                 1.1733,                0.98716,                0.97667,                0.99404,                0.74881,                0.92992,                0.45279,                 1.1705,              0.0004556,              0.0004556,              0.0004556
